smiles,ic50_nM,MW,LogP,HBD,HBA,Lipinski_violations,TPSA,RotBonds,CNS_violations
Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,41.0,383.814,4.450340000000002,3.0,4.0,0.0,82.69999999999999,3.0,1.0
O=C(O)/C=C/c1ccc(O)cc1,3000000.0,164.16,1.49,2.0,2.0,0.0,57.53,2.0,1.0
N#C/C(=C/c1ccc[nH]1)C(=O)O,1360000.0,162.14799999999997,1.0062799999999998,2.0,2.0,0.0,76.88,2.0,1.0
N#C/C(=C\c1ccc(O)cc1)C(=O)O,165000.0,189.17,1.3837799999999998,2.0,3.0,0.0,81.32,2.0,1.0
N#CC(C#N)=Cc1ccncc1,250000.0,155.15999999999997,1.51216,0.0,3.0,0.0,60.47,1.0,1.0
Cc1cccc(Nc2ncnc3ccc(N)cc23)c1,1000.0,250.30500000000004,3.2640200000000004,2.0,4.0,0.0,63.83,2.0,0.0
N#CC(C#N)=CNc1ccc(O)cc1,350000.0,185.186,1.7351599999999998,2.0,4.0,0.0,79.84,2.0,1.0
O=CN/C=C/c1cc(O)ccc1O,14000.0,179.17499999999998,0.8144999999999998,3.0,3.0,0.0,69.56,3.0,1.0
Nc1ccc2ncnc(NCc3ccccc3)c2c1,508.0,250.30500000000004,2.8241000000000014,2.0,4.0,0.0,63.83,3.0,0.0
N#C/C(=C\c1ccc(F)cc1)C(=O)O,833000.0,191.161,1.8172799999999998,1.0,2.0,0.0,61.09,2.0,1.0
N#C/C(=C\c1ccc(C=O)cc1)C(=O)O,47000.0,201.18099999999998,1.49068,1.0,3.0,0.0,78.16,3.0,1.0
CN(c1ccccc1)c1ncnc2ccc(N)cc12,8400.0,250.30499999999998,2.9799000000000007,1.0,4.0,0.0,55.040000000000006,2.0,0.0
Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(N3CCCCC3)c21,20000.0,422.48900000000026,2.0685199999999995,2.0,6.0,0.0,103.44999999999999,3.0,1.0
N#CC(C#N)Cc1ccc(O)cc1,6500000.0,172.187,1.5980599999999998,1.0,3.0,0.0,67.81,2.0,1.0
N#C/C(=C\c1ccc(O)cc1)C(N)=O,800000.0,188.18599999999998,0.7844799999999998,2.0,3.0,0.0,87.10999999999999,2.0,1.0
COc1ccc(/C=C(\C#N)C(=O)O)cc1,833000.0,203.19699999999997,1.68678,1.0,3.0,0.0,70.32,3.0,1.0
Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,200.0,270.72300000000007,3.609000000000001,2.0,4.0,0.0,63.83,2.0,0.0
Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,44.0,315.17400000000004,3.7181000000000015,2.0,4.0,0.0,63.83,2.0,0.0
CCCCc1cc(/C=C(\C#N)C(N)=O)cc(CCCC)c1O,55000.0,300.402,3.4696800000000017,2.0,3.0,0.0,87.11,8.0,0.0
Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C1CCCC1,3200.0,370.4560000000002,5.587900000000003,1.0,4.0,1.0,65.96000000000001,4.0,1.0
N#CC(C#N)=Cc1cc[n+]([O-])cc1,1300000.0,171.15899999999996,0.75056,0.0,3.0,0.0,74.52,1.0,1.0
N#C/C(=C\c1ccccc1)C(=O)O,850000.0,173.17099999999996,1.6781799999999996,1.0,2.0,0.0,61.09,2.0,1.0
N#CC(C#N)=Cc1ccc[nH]1,260000.0,143.14899999999997,1.4452599999999998,1.0,2.0,0.0,63.37,1.0,1.0
Cc1cc(C)c(/C=C2\C(=O)N(C)c3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,20000.0,397.84100000000007,4.4746400000000035,2.0,4.0,0.0,73.91,3.0,1.0
O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc[nH]1,20000.0,355.76000000000005,3.8335000000000017,3.0,4.0,0.0,82.69999999999999,3.0,0.0
N#C/C=C/c1ccc(O)cc1,2400000.0,145.161,1.9289799999999997,1.0,2.0,0.0,44.019999999999996,1.0,1.0
COc1ccc2c(c1)NC(=O)/C2=C\c1[nH]c2c(c1CCC(=O)O)CCCC2,100000.0,366.4170000000002,3.4120000000000017,3.0,3.0,0.0,91.42,5.0,1.0
COc1cccc(-c2ccc3c(c2)NC(=O)/C3=C\c2cc3c([nH]2)CCCC3)c1,100000.0,370.45200000000017,5.061800000000003,2.0,2.0,1.0,54.12,3.0,1.0
COc1ccccc1-c1ccc2c(c1)NC(=O)/C2=C\c1cc2c([nH]1)CCCC2,100000.0,370.4520000000002,5.061800000000003,2.0,2.0,1.0,54.12,3.0,1.0
COc1ccc2c(c1)NC(=O)/C2=C\c1cc2c([nH]1)CCCC2,100000.0,294.3540000000001,3.394800000000002,2.0,2.0,0.0,54.12,2.0,0.0
O=C(O)CCc1c(/C=C2\C(=O)Nc3cc(-c4ccccc4)ccc32)[nH]c2c1CCCC2,100000.0,412.48900000000026,5.070400000000004,3.0,2.0,1.0,82.19,5.0,1.0
O=C1Nc2ccccc2/C1=C/c1cc2c([nH]1)CCCC2,100000.0,264.328,3.3862000000000023,2.0,1.0,0.0,44.89,1.0,0.0
O=C(O)CCc1c(/C=C2\C(=O)Nc3ccc(Br)cc32)[nH]c2c1CCCC2,100000.0,415.2870000000002,4.165900000000002,3.0,2.0,0.0,82.19,4.0,1.0
NS(=O)(=O)c1ccc2c(c1)/C(=C/c1cc3c([nH]1)CCCC3)C(=O)N2,100000.0,343.4080000000002,2.0336000000000003,3.0,3.0,0.0,105.05000000000001,2.0,1.0
O=C1Nc2cc(-c3ccccc3)ccc2/C1=C/c1cc2c([nH]1)CCCC2,100000.0,340.4260000000002,5.053200000000004,2.0,1.0,1.0,44.89,2.0,1.0
Cc1c[nH]c(/C=C2\C(=O)Nc3ccccc32)c1CCC(=O)O,100000.0,296.326,2.8330200000000003,3.0,2.0,0.0,82.19,4.0,0.0
Cc1cc(C)c(/C=C2\C(=O)Nc3ccccc32)[nH]1,100000.0,238.29000000000002,3.1242400000000004,2.0,1.0,0.0,44.89,1.0,0.0
COc1ccc(-c2ccc3c(c2)NC(=O)/C3=C\c2cc3c([nH]2)CCCC3)cc1,100000.0,370.45200000000017,5.061800000000003,2.0,2.0,1.0,54.12,3.0,1.0
O=C1Nc2ccc(C(=O)O)cc2/C1=C/c1cc2c([nH]1)CCCC2,100000.0,308.33700000000016,3.0844000000000014,3.0,2.0,0.0,82.19,2.0,0.0
O=C(O)CCc1c(/C=C2\C(=O)Nc3ccccc32)[nH]c2c1CCCC2,100000.0,336.39100000000025,3.403400000000002,3.0,2.0,0.0,82.19,4.0,0.0
O=C1Nc2ccc(Br)cc2/C1=C/c1cc2c([nH]1)CCCC2,100000.0,343.22400000000016,4.1487000000000025,2.0,1.0,0.0,44.89,1.0,1.0
O=C1NC(=O)c2cc(NC3CCCCC3)c(NC3CCCCC3)cc21,50000.0,341.45500000000015,4.059400000000003,3.0,4.0,0.0,70.23,4.0,1.0
C=CC(=O)N(CCN(C)C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,4.2,441.3330000000001,3.6115000000000013,1.0,6.0,0.0,74.25,7.0,0.0
Cc1cccc(Nc2ncnc3cnc(N(C)C)nc23)c1,4.0,280.33500000000004,2.53782,1.0,6.0,0.0,66.83000000000001,3.0,0.0
Cc1cccc(Nc2ncnc3cnc(Cl)nc23)c1,380.0,271.71100000000007,3.1252200000000014,1.0,5.0,0.0,63.59,2.0,0.0
