smiles,ic50_nM,MW,LogP,HBD,HBA,Lipinski_violations,TPSA,RotBonds,CNS_violations
Cc1ccccc1-c1ccc(NC(=O)C[C@H](N)C(=O)O)cc1,100.0,298.342,2.40252,3.0,3.0,0.0,92.42,5.0,1.0
Cc1cc(-c2ccccc2)ccc1NC(=O)CC(N)C(=O)O,200.0,298.34200000000004,2.4025199999999995,3.0,3.0,0.0,92.42,5.0,1.0
CCc1cc(-c2ccc(F)c(Cl)c2)ccc1NC(=O)C[C@H](N)C(=O)O,600.0,364.80400000000014,3.4490000000000007,3.0,3.0,0.0,92.42,6.0,1.0
Cc1cc(NC(=O)C[C@H](N)C(=O)O)ccc1-c1cccc(C(F)(F)F)c1,100.0,366.339,3.4213200000000015,3.0,3.0,0.0,92.42,5.0,1.0
N[C@@H](CC(=O)Nc1ccc(-c2ccc(F)c(Cl)c2)c(C(F)(F)F)c1)C(=O)O,200.0,404.747,3.905400000000001,3.0,3.0,0.0,92.42,5.0,1.0
Cc1ccc(NC(=O)CC(N)C(=O)O)cc1-c1ccc(F)c(Cl)c1,500.0,350.77700000000004,3.1950200000000004,3.0,3.0,0.0,92.42,5.0,1.0
Cc1ccc(NC(=O)C[C@H](N)C(=O)O)cc1-c1cccc(C(F)(F)F)c1,700.0,366.33900000000006,3.4213200000000006,3.0,3.0,0.0,92.42,5.0,1.0
N[C@@H](CC(=O)Nc1ccc2c(c1)Cc1cc(F)ccc1-2)C(=O)O,80.0,314.31600000000003,2.1373999999999995,3.0,3.0,0.0,92.42,4.0,1.0
N[C@@H](CC(=O)Nc1ccc2c(c1)Cc1cc(Cl)ccc1-2)C(=O)O,100.0,330.771,2.6517,3.0,3.0,0.0,92.42,4.0,1.0
N[C@@H](CC(=O)Nc1ccc2c(c1)Cc1cc(Br)ccc1-2)C(=O)O,200.0,375.22200000000004,2.7608000000000006,3.0,3.0,0.0,92.42,4.0,1.0
N[C@@H](CC(=O)Nc1ccc2c(c1)Cc1c(Cl)cc(Cl)cc1-2)C(=O)O,300.0,365.21600000000007,3.3051000000000013,3.0,3.0,0.0,92.42,4.0,1.0
N[C@@H](CC(=O)Nc1ccc2c(c1)Cc1cc(C(F)(F)F)ccc1-2)C(=O)O,100.0,364.32300000000004,3.017100000000001,3.0,3.0,0.0,92.42,4.0,1.0
N[C@@H](CC(=O)Nc1ccc2oc3cc(F)c(F)cc3c2c1)C(=O)O,500.0,334.278,2.6047000000000002,3.0,4.0,0.0,105.56000000000002,4.0,1.0
N[C@@H](CC(=O)Nc1ccc(Oc2ccc(F)c(F)c2)cc1)C(=O)O,130.0,336.294,2.4976000000000003,3.0,4.0,0.0,101.65000000000002,6.0,1.0
N[C@@H](CC(=O)Nc1ccc(Oc2cc(F)c(F)cc2Br)cc1)C(=O)O,80.0,415.19,3.2601000000000004,3.0,4.0,0.0,101.65000000000002,6.0,1.0
NC(CC(=O)Nc1ccc(-c2ccccc2)cc1)C(=O)O,700.0,284.315,2.0940999999999996,3.0,3.0,0.0,92.42,5.0,1.0
N[C@@H](CC(=O)Nc1ccc(-c2cccc(C(F)(F)F)c2)cc1)C(=O)O,60.0,352.312,3.1129000000000007,3.0,3.0,0.0,92.42,5.0,1.0
Cc1cc(-c2cccc(C(F)(F)F)c2)ccc1NC(=O)C[C@H](N)C(=O)O,400.0,366.3390000000001,3.4213199999999997,3.0,3.0,0.0,92.42,5.0,1.0
Cc1cc(NC(=O)C[C@H](N)C(=O)O)ccc1-c1ccc(C(F)(F)F)cc1,300.0,366.339,3.4213200000000015,3.0,3.0,0.0,92.42,5.0,1.0
Cc1cc(NC(=O)C[C@H](N)C(=O)O)ccc1-c1ccc(Cl)cc1,200.0,332.78700000000003,3.0559200000000013,3.0,3.0,0.0,92.42,5.0,1.0
Cc1cc(NC(=O)C[C@H](N)C(=O)O)ccc1-c1ccc(Cl)c(Cl)c1,100.0,367.2320000000001,3.709320000000001,3.0,3.0,0.0,92.42,5.0,1.0
N[C@@H](CC(=O)Nc1c(F)c(F)c(-c2cccc(C(F)(F)F)c2)c(F)c1F)C(=O)O,1000.0,424.27200000000005,3.6693000000000007,3.0,3.0,0.0,92.42,5.0,1.0
N[C@@H](CC(=O)Nc1ccc(-c2ccc3ccccc3c2)cc1)C(=O)O,300.0,334.37500000000006,3.247300000000001,3.0,3.0,0.0,92.42,5.0,1.0
N[C@@H](CC(=O)Nc1ccc(Cc2ccccc2)cc1)C(=O)O,1000.0,298.34200000000004,2.0179,3.0,3.0,0.0,92.42,6.0,1.0
N#CC1=C(N)OC2=C(C(=O)CC(c3ccccc3)C2)C1c1ccccc1F,100000.0,360.38800000000003,4.034180000000003,1.0,4.0,0.0,76.11000000000001,2.0,1.0
CC1C(C#N)=C(N)OC2=C1C(=O)CC(c1ccccc1)C2,316227.77,280.32700000000006,2.7473800000000006,1.0,4.0,0.0,76.11000000000001,1.0,0.0
N#CC1=C(N)OC2=C(C(=O)CC(c3ccccc3)C2)C1Cc1ccccc1,100000.0,356.42500000000007,3.9701800000000036,1.0,4.0,0.0,76.11000000000001,3.0,0.0
N#CC1=C(N)OC2=C(C(=O)CC(c3ccccc3)C2)C1c1cccnc1,300000.0,343.386,3.2900800000000014,1.0,5.0,0.0,89.00000000000001,2.0,0.0
N#CC1=C(N)OC2=C(C(=O)CC(c3cccs3)C2)C1c1ccc([N+](=O)[O-])cc1,300000.0,393.42400000000015,3.8647800000000023,1.0,7.0,0.0,119.25000000000003,3.0,1.0
N#CC1=C(N)OC2=C(C(=O)CC(c3ccco3)C2)C1c1ccccc1,300000.0,332.35900000000004,3.4880800000000027,1.0,5.0,0.0,89.25000000000001,2.0,0.0
COc1ccc(C2C(C#N)=C(N)OC3=C2C(=O)CC(c2cccc4ccccc24)C3)cc1,300000.0,422.4840000000001,5.056880000000004,1.0,5.0,1.0,85.34,3.0,1.0
COc1ccc(C2C(C#N)=C(N)OC3=C2C(=O)CC(c2ccc(OC)c(OC)c2)C3)cc1,300000.0,432.47600000000017,3.920880000000003,1.0,7.0,0.0,103.80000000000001,5.0,1.0
COc1ccc(C2C(C#N)=C(N)OC3=C2C(=O)CC(c2ccccc2Cl)C3)cc1,300000.0,406.869,4.557080000000004,1.0,5.0,0.0,85.34,3.0,1.0
N#CC1=C(N)OC2=C(C(=O)CC(c3ccccc3)C2)C1c1ccc(-c2ccccc2)cc1,100000.0,418.4960000000001,5.562080000000004,1.0,4.0,1.0,76.11000000000001,3.0,1.0
N#CC1=C(N)OC2=C(C(=O)CC(c3ccccc3)C2)C1c1ccc2ccccc2c1,100000.0,392.4580000000001,5.048280000000004,1.0,4.0,1.0,76.11000000000001,2.0,1.0
